"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U9";"TP4057ST26P";1;"TP4057ST26P";;;
2;"C4,C2,C1";"C_0805_2012Metric";3;"100nF";;;
3;"Q1,Q2";"SOT-23";2;"BC817";;;
4;"D1,D4";"D_SOD-123";2;"1N5817";;;
5;"C3";"CP_EIA-3528-21_Kemet-B";1;"C_Polarized 100uF";;;
6;"C7,C8";"C_0805_2012Metric";2;"22uF";;;
7;"TP2";"TestPoint_Pad_D1.5mm";1;"RX";;;
8;"R14";"R_0603_1608Metric";1;"160K";;;
9;"R8,R3,R1,R18,R7,R21";"R_0603_1608Metric";6;"10 K";;;
10;"J7";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Female";;;
11;"D5,D6";"D_SOD-323";2;"1N4148WS";;;
12;"L1";"SWPA5040S282MT";1;"22 uH";;;
13;"TP5";"TestPoint_Pad_D1.0mm";1;"5V_EN";;;
14;"R11";"R_0603_1608Metric";1;"110K";;;
15;"R16,R15";"R_0603_1608Metric";2;"5.1K";;;
16;"D2";"LED_0805_2012Metric";1;"GRE";;;
17;"C5,C6";"C_0805_2012Metric";2;"10uF";;;
18;"TP4";"TestPoint_Pad_D1.5mm";1;"BOOT";;;
19;"R12";"R_0603_1608Metric";1;"15K";;;
20;"C10,C11";"C_0603_1608Metric";2;"12 pF";;;
21;"D3";"LED_0805_2012Metric";1;"RED";;;
22;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper open";;;
23;"R5";"R_0603_1608Metric";1;"400";;;
24;"U1";"ESP32-S3-WROOM-1-N8";1;"ESP32-S3-WROOM-1-N8";;;
25;"Y1";"Q13FC1350000400-Crystal";1;"Crystal_Small";;;
26;"U2";"TPS2113APW";1;"TPS2113APWR";;;
27;"TP1";"TestPoint_Pad_D1.5mm";1;"TX";;;
28;"R20";"R_0603_1608Metric";1;"10K";;;
29;"U8";"AP22802AW5-7";1;"AP22802AW5-7";;;
30;"R19";"R_0603_1608Metric";1;"1.2K";;;
31;"J5";"FH34SRJ-6S-0.5SH50-Hirose";1;"6P6C";;;
32;"JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_2_Open";;;
33;"J8";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_JTAG";;;
34;"R9,R10";"R_0603_1608Metric";2;"4.7K";;;
35;"U5";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2102N-Axx-xQFN24";;;
36;"TP3";"TestPoint_Pad_D1.5mm";1;"RTC_CLK_OUT";;;
37;"J4";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Programming";;;
38;"R6";"R_0805_2012Metric";1;"1.8K";;;
39;"SW1";"Alps_SKRK";1;"RESET";;;
40;"R2,R4";"R_0603_1608Metric";2;"5K";;;
41;"U4";"SOT-23";1;"MCP1700-3302E_SOT23";;;
42;"U6";"SOT-23-6";1;"MT3608";;;
43;"U7";"PCF8563T&slash_5_518";1;"PCF8563T";;;
44;"R13";"R_0603_1608Metric";1;"442K";;;
45;"C9";"C_0805_2012Metric";1;"100 nF";;;
46;"BT1";"CR12202ZX";1;"CR1220";;;
