"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"TP4056_SOP-8-PP";1;"TP4056";;;
2;"C4,C2,C1";"C_0805_2012Metric";3;"100nF";;;
3;"Q1,Q2";"SOT-23";2;"BC817";;;
4;"D1,D4";"D_SOD-123";2;"1N5817";;;
5;"JP1";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"Jumper_2_Bridged";;;
6;"C3";"CP_EIA-3528-21_Kemet-B";1;"C_Polarized 100uF";;;
7;"C7,C8";"C_0805_2012Metric";2;"22uF";;;
8;"TP2";"TestPoint_Pad_D1.5mm";1;"RX";;;
9;"R14";"R_0603_1608Metric";1;"160K";;;
10;"R8,R3,R1,R18,R7";"R_0603_1608Metric";5;"10 K";;;
11;"L1";"SWPA5040S282MT";1;"22 uH";;;
12;"TP5";"TestPoint_Pad_D1.0mm";1;"5V_EN";;;
13;"R11";"R_0603_1608Metric";1;"110K";;;
14;"R16,R15";"R_0603_1608Metric";2;"5.1K";;;
15;"D2";"LED_0805_2012Metric";1;"GRE";;;
16;"U7";"SOIC-8_3.9x4.9mm_P1.27mm";1;"DS3231MZ";;;
17;"C5,C6";"C_0805_2012Metric";2;"10uF";;;
18;"TP4";"TestPoint_Pad_D1.5mm";1;"BOOT";;;
19;"H2,H3,H4,H1";"MountingHole_2.5mm";4;"MountingHole";;;
20;"J1";"JST_EH_S2B-EH_1x02_P2.50mm_Horizontal";1;"Jack-DC";;;
21;"R12";"R_0603_1608Metric";1;"15K";;;
22;"D3";"LED_0805_2012Metric";1;"RED";;;
23;"R5";"R_0603_1608Metric";1;"400";;;
24;"U1";"ESP32-S3-WROOM-1-N8";1;"ESP32-S3-WROOM-1-N8";;;
25;"U2";"TPS2113APW";1;"TPS2113APWR";;;
26;"U8";"AP22802AW5-7";1;"AP22802AW5-7";;;
27;"R19";"R_0603_1608Metric";1;"560Ω";;;
28;"JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_2_Open";;;
29;"J8";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_JTAG";;;
30;"R9,R10";"R_0603_1608Metric";2;"4.7K";;;
31;"U5";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2102N-Axx-xQFN24";;;
32;"J4";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Programming";;;
33;"SW1";"Alps_SKRK";1;"RESET";;;
34;"R6";"R_0603_1608Metric";1;"680Ω";;;
35;"R2,R4";"R_0603_1608Metric";2;"5K";;;
36;"U4";"SOT-23";1;"MCP1700-3302E_SOT23";;;
37;"TP3";"TestPoint_Pad_D1.5mm";1;"32Khz";;;
38;"U6";"SOT-23-6";1;"MT3608";;;
39;"R13";"R_0603_1608Metric";1;"442K";;;
40;"C9";"C_0805_2012Metric";1;"100 nF";;;
